Date,OpenNestleind,HighNestleind,LowNestleind,CloseNestleind,VolumeNestleind
11-04-2018 07:45,8491.15,8496.55,8379.35,8454.5,10473
11-04-2018 08:45,8460.1,8478.15,8451,8478.15,5315
11-04-2018 09:45,8478.25,8485.6,8476,8476.35,3974
12-04-2018 03:45,8437.8,8500,8437.8,8493.4,11384
12-04-2018 04:45,8493.4,8500,8485,8498.95,2086
12-04-2018 05:45,8498.6,8554.8,8497.9,8547,8677
12-04-2018 06:45,8549,8577,8534.95,8573.6,5235
12-04-2018 07:45,8564.7,8570,8560.05,8565,5327
12-04-2018 08:45,8568.3,8619.85,8565,8619.85,51082
13-04-2018 03:45,8650.05,8710,8614.8,8704,11577
13-04-2018 04:45,8703.7,8710.1,8695.8,8704.9,4159
13-04-2018 05:45,8700,8738.9,8683.3,8725,7375
13-04-2018 06:45,8730,8734.6,8703.4,8706.95,7252
13-04-2018 07:45,8709.65,8716.15,8641.1,8657.85,9111
13-04-2018 08:45,8654.25,8698.4,8650.1,8680,6463
13-04-2018 09:45,8677,8718.35,8671.1,8687.5,4664
16-04-2018 03:45,8692,8773.9,8661.45,8752.95,57188
16-04-2018 04:45,8751.45,8774.05,8745.05,8750.05,3718
16-04-2018 05:45,8750,8757.45,8745.15,8749.45,3126
16-04-2018 06:45,8747.15,8753.05,8740,8750,11220
16-04-2018 07:45,8748.5,8757,8745.5,8749.55,2803
16-04-2018 08:45,8750,8750,8742,8749.95,5360
16-04-2018 09:45,8749.9,8760,8747,8749.4,4122
17-04-2018 03:45,8784.5,8924.6,8783.3,8919.5,27847
17-04-2018 04:45,8913.2,8916.9,8897.75,8906.9,9911
17-04-2018 05:45,8910,8946.6,8905,8939.15,11211
17-04-2018 06:45,8934.6,8970.95,8920,8968.95,13220
17-04-2018 07:45,8968.9,9020.65,8959.95,9020.65,20611
17-04-2018 08:45,9013.9,9045.9,8982.3,8998.25,24241
17-04-2018 09:45,9003.9,9030,8999.65,8999.65,10394
18-04-2018 03:30,9013.6,9013.6,9013.6,9013.6,0
18-04-2018 04:30,9002.2,9116,8982.2,9093,13074
18-04-2018 05:30,9086.05,9088,9053.05,9067.8,3520
18-04-2018 06:30,9074,9074,9041,9060.35,2262
18-04-2018 07:30,9060,9114,9060,9102.7,5664
18-04-2018 08:30,9107.35,9112.5,9043.35,9059.5,5993
18-04-2018 09:30,9056.05,9064.75,8970.05,8975.25,16937
19-04-2018 03:45,8980.45,9081.75,8980.45,9043,8415
19-04-2018 04:45,9045,9072.75,8971,8986.9,7893
19-04-2018 05:45,9006.35,9065.9,8969.05,9041,17160
19-04-2018 06:45,9043.7,9060,9035.2,9042.6,3182
19-04-2018 07:45,9040,9041.65,9010,9029.75,5608
19-04-2018 08:45,9032,9117,9020.05,9113,12997
19-04-2018 09:45,9109.1,9198,9108.15,9145.55,11977
20-04-2018 03:45,9189.95,9240.55,9165.05,9198.95,14156
20-04-2018 04:45,9187.65,9223.05,9180.05,9190.5,6131
20-04-2018 05:45,9189.95,9198.1,9171.15,9179.95,2670
20-04-2018 06:45,9180,9182.55,9147,9158.95,4205
20-04-2018 07:45,9160,9188.9,9159.5,9162.5,4783
20-04-2018 08:45,9167.9,9169.9,9158,9164,5890
20-04-2018 09:45,9160.3,9169.95,9135.75,9162,5228
23-04-2018 03:45,9176.2,9176.2,9035,9050,14360
23-04-2018 04:45,9050,9061.6,9040.9,9048.2,9231
23-04-2018 05:45,9049,9054.7,9037.2,9050,6305
23-04-2018 06:45,9045.25,9050,8990.05,8999.75,12902
23-04-2018 07:45,8998.2,9000,8983.4,8983.4,8508
23-04-2018 08:45,8963.9,8963.9,8882,8892.85,11789
23-04-2018 09:45,8892.8,8907,8883.05,8905.35,4371
24-04-2018 03:45,8950,9017.65,8902.05,8919.8,13247
