Date,OpenHdfcbank,HighHdfcbank,LowHdfcbank,CloseHdfcbank,VolumeHdfcbank
10-04-2018 04:45,961.925,962.15,958.95,960.475,147369
10-04-2018 05:45,960.475,960.75,958.025,959.05,144352
10-04-2018 06:45,958.875,959.125,957.2,957.85,136123
10-04-2018 07:45,958.25,960.45,957.625,958.75,111085
10-04-2018 08:45,958.675,961.2,958.5,960.275,443167
10-04-2018 09:45,960.4,961.5,959.825,960.425,340994
11-04-2018 03:45,958.2,958.45,952.7,955.6,174172
11-04-2018 04:45,955.8,958.8,955.05,955.325,120943
11-04-2018 05:45,955.325,957.225,955.175,955.9,87208
11-04-2018 06:45,955.9,956.925,954.65,956.3,98390
11-04-2018 07:45,956.3,959.7,956.3,959.5,115005
11-04-2018 08:45,959.675,960,957.875,959.8,75801
11-04-2018 09:45,959.85,959.95,958.5,959.425,43490
12-04-2018 03:45,958,958,952.975,954.1,107601
12-04-2018 04:45,954.15,957,953.6,956,107416
12-04-2018 05:45,956.3,957.9,955.575,957.375,107703
12-04-2018 06:45,957.25,961.7,955.75,960.65,216797
12-04-2018 07:45,961.025,964.975,961.025,963.225,288626
12-04-2018 08:45,963.75,964.3,959.75,964,209598
12-04-2018 09:45,964.75,965.95,962.85,964.4,139980
13-04-2018 03:45,963.975,967.5,962,966.8,79170
13-04-2018 04:45,966.8,968.7,965.875,967.825,89031
13-04-2018 05:45,967.85,968.2,966.75,968.025,63142
13-04-2018 06:45,968,970,962.5,965.225,136512
13-04-2018 07:45,964.875,964.875,960.15,960.45,199213
13-04-2018 08:45,960.5,962.45,959.575,962.35,198783
13-04-2018 09:45,962.125,963.5,962.125,963.5,48354
16-04-2018 03:45,959.925,967.5,959.925,966.5,108756
16-04-2018 04:45,966.3,967.5,965,965.95,62469
16-04-2018 05:45,965.575,968.9,965.25,968,78802
16-04-2018 06:45,968,969.675,967.25,968.775,46694
16-04-2018 07:45,968.975,972.5,968.75,971.975,120366
16-04-2018 08:45,971.975,974.9,970.75,970.75,176045
16-04-2018 09:45,970.75,972.25,969.75,971.05,116681
17-04-2018 03:45,971.25,973.925,968.05,970.575,202226
17-04-2018 04:45,970.5,973.15,970.5,971,62640
17-04-2018 05:45,971,971.475,968,969.025,42574
17-04-2018 06:45,969.2,969.5,967.125,968.65,31640
17-04-2018 07:45,968.85,973.9,968.8,972.825,121944
17-04-2018 08:45,973,975,972.65,973.375,108917
17-04-2018 09:45,973.75,975.35,973.275,974.25,96549
18-04-2018 03:30,974.25,974.25,974.25,974.25,0
18-04-2018 04:30,975.5,976.7,972.325,972.4,121840
18-04-2018 05:30,972.5,975.45,971.75,974.6,82121
18-04-2018 06:30,974.7,976,971.875,972.625,39239
18-04-2018 07:30,972.7,974.675,970.7,974.425,81381
18-04-2018 08:30,975.05,975.05,969.775,970.625,98099
18-04-2018 09:30,970.65,971.2,965.375,966.3,252594
19-04-2018 03:45,969.425,971.275,967.65,969.6,79104
19-04-2018 04:45,969.6,970.5,966.5,967.2,63807
19-04-2018 05:45,967.2,969.875,967,967,82061
19-04-2018 06:45,967.025,969.4,966.725,967.95,96215
19-04-2018 07:45,968.1,970.725,966.825,970.725,209193
19-04-2018 08:45,971,972.375,968,969.125,187648
19-04-2018 09:45,969.45,970.05,968.75,969.5,72571
20-04-2018 03:45,970,970.975,966.5,970.25,121339
20-04-2018 04:45,970,974.275,969.725,972.4,215437
20-04-2018 05:45,972.4,973.025,971.25,971.95,163711
20-04-2018 06:45,971.9,973.35,969.175,970.025,237297
20-04-2018 07:45,970.1,972.975,969.5,971.15,429769
20-04-2018 08:45,971.25,977.5,971.125,977.45,983969
20-04-2018 09:45,977.5,980.05,977.3,979.975,186193
23-04-2018 03:45,987.375,987.375,955.4,970.65,2075019
23-04-2018 04:45,970.5,975,968.55,971.525,352040
23-04-2018 05:45,971.775,972.725,970.175,972.5,201340
23-04-2018 06:45,972.5,973.95,970.4,971,204691
23-04-2018 07:45,971.025,971.5,967.775,968.275,249691
23-04-2018 08:45,968.3,973,966.1,968.5,421022
23-04-2018 09:45,968.625,969.9,965.875,967.875,255460
24-04-2018 03:45,971.225,973.75,963,964.675,350125
24-04-2018 04:45,964.675,966.9,964.225,966.2,151015
24-04-2018 05:45,966,968.7,965.575,968.675,142025
24-04-2018 06:45,968,969.05,964.125,966.2,105903
24-04-2018 07:45,965.875,970.825,965.775,969.975,160847
24-04-2018 08:45,969.625,970.5,966.95,968.025,238201
24-04-2018 09:45,968,968.3,966.125,967.5,107117
25-04-2018 03:45,963.2,968.925,960.525,963.7,172256
25-04-2018 04:45,963.7,964.625,962.6,964.625,73336
25-04-2018 05:45,964.5,964.775,961.4,962.575,79468
25-04-2018 06:45,962.525,964.875,961.5,963.55,105210
25-04-2018 07:45,963.6,965.475,958.2,958.2,273681
25-04-2018 08:45,958.05,962.35,956.5,960.575,189768
25-04-2018 09:45,960.275,960.675,959,960.375,109086
26-04-2018 03:45,958.325,964.5,956,963.25,153740
26-04-2018 04:45,962.95,969.25,962.75,967.4,155953
26-04-2018 05:45,967.4,969.25,963.5,964.15,242813
26-04-2018 06:45,964.1,967,963.95,964.425,123713
26-04-2018 07:45,964.675,966.175,963.5,965.425,151937
26-04-2018 08:45,965.2,967.325,963.5,965.3,778527
26-04-2018 09:45,966.175,966.875,963.6,965.125,350376
27-04-2018 03:45,966.85,967.65,959.125,959.5,304291
27-04-2018 04:45,959.5,959.675,957.075,957.225,177562
27-04-2018 05:45,957.325,959.45,956.25,957.725,217770
27-04-2018 06:45,957.8,958.275,956.5,956.5,159967
27-04-2018 07:45,957.025,958.5,956.45,956.85,211444
27-04-2018 08:45,956.8,962.675,956.325,961.225,282920
27-04-2018 09:45,961.5,962.65,961.375,962.475,79445
30-04-2018 03:45,964.825,973.975,964.825,970.75,226955
30-04-2018 04:45,970.85,973.825,969.075,973.1,156690
30-04-2018 05:45,973.025,974.65,971.1,974.65,111644
30-04-2018 06:45,974.75,974.75,972.1,973.025,147010
30-04-2018 07:45,973.5,977.15,973.5,975.2,214903
30-04-2018 08:45,975.15,975.725,971.075,971.075,227085
30-04-2018 09:45,971.9,973.075,970.6,972.55,66034
02-05-2018 03:45,975,978.4,973.05,973.65,177773
02-05-2018 04:45,973.75,977.1,973,977,101496
02-05-2018 05:45,976.8,980.5,976.525,979.875,296302
02-05-2018 06:45,979.95,988.925,979.95,988,384432
02-05-2018 07:45,987.975,989,985.475,985.475,285919
02-05-2018 08:45,985.95,987.875,983.55,985.8,394843
02-05-2018 09:45,985.8,986.85,983.1,983.75,130050
03-05-2018 03:45,984.025,984.475,973.125,976.5,218993
03-05-2018 04:45,976.5,980,975.775,979.875,133709
03-05-2018 05:45,979.975,982.2,979.975,982,97910
03-05-2018 06:45,982.05,982.85,981.125,982.5,80147
03-05-2018 07:45,982.175,987.25,982.175,986.3,203896
03-05-2018 08:45,986.55,987,980.5,984.225,240606
03-05-2018 09:45,984.025,984.925,983.2,983.95,61231
04-05-2018 03:45,985.025,988,983.825,984.625,169837
04-05-2018 04:45,984.525,985.975,983.4,985.675,123573
04-05-2018 05:45,985.525,988.95,984.9,988.375,191669
04-05-2018 06:45,988.5,992.475,988.225,991.125,361360
04-05-2018 07:45,991.25,993.5,990.45,990.875,260821
04-05-2018 08:45,990.75,995,989.3,994.225,507011
04-05-2018 09:45,994.025,994.6,993.025,993.075,97451
07-05-2018 03:45,992.375,993.5,991.125,992.75,108523
07-05-2018 04:45,992.95,993.5,990.225,991.975,78240
07-05-2018 05:45,991.5,991.65,988.075,990.05,106355
07-05-2018 06:45,990,992,988.8,989.675,281603
07-05-2018 07:45,990.125,990.825,988.85,990.75,243485
07-05-2018 08:45,990.6,992,987.925,989.075,396527
07-05-2018 09:45,988.5,989.975,988,988.7,94374
08-05-2018 03:45,989.325,989.325,977.375,982.5,343110
08-05-2018 04:45,982.525,985.4,980.775,983.5,546094
08-05-2018 05:45,983.5,983.5,978.5,979,142270
08-05-2018 06:45,979,981,978.8,980.8,171171
08-05-2018 07:45,980.95,982,980,980.45,258822
08-05-2018 08:45,980.525,983.925,980.15,983.85,233185
08-05-2018 09:45,983.15,983.875,982.825,983.525,79110
09-05-2018 03:45,978.175,986.5,978.175,985.05,180367
09-05-2018 04:45,985.85,988.35,983.525,987.825,288698
09-05-2018 05:45,987.825,988,983.55,985,77047
09-05-2018 06:45,984.975,987.9,984.225,987.875,97769
09-05-2018 07:45,987.9,990,987.675,989.4,153921
09-05-2018 08:45,989.75,990.225,987.575,989.5,187501
09-05-2018 09:45,989.35,990,989,989.2,94645
10-05-2018 03:45,994.45,997.5,991,994.9,345961
10-05-2018 04:45,994.725,997.925,994.15,995.375,371243
10-05-2018 05:45,995.325,995.95,995,995.75,156389
10-05-2018 06:45,995.525,995.8,993.5,995.475,146582
10-05-2018 07:45,995.4,998.45,994.75,997.75,209301
10-05-2018 08:45,997.85,999.5,995.1,996.725,310673
10-05-2018 09:45,996.1,998.15,994,996.35,247293
11-05-2018 03:45,996,997.625,993.025,994.875,69985
11-05-2018 04:45,995,1000,994.575,997.475,145826
11-05-2018 05:45,997.325,997.55,995.75,997.2,99224
11-05-2018 06:45,997.15,997.15,994,994.25,142445
11-05-2018 07:45,995,997.9,994.525,996.775,233315
11-05-2018 08:45,997,1008.475,996.025,1004.975,690583
11-05-2018 09:45,1004.75,1006.475,1004.525,1005.9,129170
14-05-2018 03:45,1008.775,1013,1008.775,1011.175,221819
14-05-2018 04:45,1011.05,1012.925,1010.3,1012.35,186073
14-05-2018 05:45,1012,1012.625,1008.525,1008.525,123185
14-05-2018 06:45,1008.6,1010.45,1006.325,1009.425,109960
14-05-2018 07:45,1009.475,1010.325,1008,1009.775,139293
14-05-2018 08:45,1009.575,1012,1008.375,1011.45,278912
14-05-2018 09:45,1011.025,1012,1010.5,1010.875,124612
15-05-2018 03:45,1013.55,1032,1013.5,1031.25,968810
15-05-2018 04:45,1031.725,1032.5,1026,1026.7,272494
15-05-2018 05:45,1026.6,1026.7,1019.125,1020,290681
15-05-2018 06:45,1020,1025,1018.475,1021.45,266437
15-05-2018 07:45,1020.25,1022.85,1017.825,1017.825,272777
15-05-2018 08:45,1018.1,1020.2,1013.5,1018.85,314010
15-05-2018 09:45,1018.825,1021.25,1017.45,1018.9,70264
16-05-2018 03:45,1017.475,1024.45,1017.475,1019.5,261748
16-05-2018 04:45,1020.125,1020.475,1015.525,1016.25,259019
16-05-2018 05:45,1016.225,1018,1013.125,1014.95,312912
16-05-2018 06:45,1015,1017.675,1014.5,1015.025,163576
16-05-2018 07:45,1015,1016.05,1010.3,1010.85,219627
16-05-2018 08:45,1010.525,1012.875,1008.575,1011.45,346058
16-05-2018 09:45,1011.5,1013.6,1011.5,1011.675,143993
17-05-2018 03:45,1012.175,1014.95,1010,1011.5,103671
17-05-2018 04:45,1011.5,1012.375,1006.875,1010.375,222089
17-05-2018 05:45,1010.35,1010.7,1007.25,1007.5,198288
17-05-2018 06:45,1007.25,1013.575,1006.825,1010.55,193489
17-05-2018 07:45,1011,1011.4,1006.325,1007.275,104381
17-05-2018 08:45,1007.5,1013.825,1007.275,1009.3,461952
17-05-2018 09:45,1009.5,1021.325,1008.8,1013.875,368640
18-05-2018 03:45,1011.025,1011.025,1001.75,1005,218376
18-05-2018 04:45,1004.825,1009.5,1004.5,1009.5,244399
18-05-2018 05:45,1009.5,1009.525,1005.25,1009.175,157790
18-05-2018 06:45,1009.45,1010.5,1007,1007,199441
18-05-2018 07:45,1006.925,1009.8,1006,1008.525,176756
18-05-2018 08:45,1009.025,1010.85,1005.85,1006.5,208067
18-05-2018 09:45,1006.525,1007,1004.825,1006.075,95681
21-05-2018 03:45,1008.325,1010.45,998.275,999.5,111999
21-05-2018 04:45,999.45,1001.525,997.275,998.675,206362
21-05-2018 05:45,999.25,999.725,993.5,994.875,223038
21-05-2018 06:45,994.675,997.025,994.5,995.7,207831
21-05-2018 07:45,995.9,996.225,993.425,994.1,204581
21-05-2018 08:45,994.25,996.5,993.25,996.5,181196
21-05-2018 09:45,996.625,998.5,996.275,996.525,74054
22-05-2018 03:45,999.3,1006.975,999.3,1003.9,167460
22-05-2018 04:45,1003.875,1005.375,994.525,996.4,149307
22-05-2018 05:45,996.325,998.975,996.3,998.15,108889
22-05-2018 06:45,998.2,1000.35,996.8,997.6,147592
22-05-2018 07:45,997.7,1000,994.8,996.5,165388
